Date,Model,City,Sales_Units,Inflation_Rate
2022-02-16,Swift,Islamabad,42,19.39
2022-02-17,Swift,Karachi,83,19.69
2022-02-18,Alto,Islamabad,31,24.07
2022-02-19,Alto,Islamabad,70,20.38
2022-02-20,Alto,Lahore,170,11.51
2022-02-21,Swift,Islamabad,160,14.88
2022-02-22,Alto,Islamabad,170,12.42
2022-02-23,Swift,Karachi,69,13.46
2022-02-24,Cultus,Islamabad,46,21.46
2022-02-25,Cultus,Karachi,127,8.32
2022-02-26,Cultus,Lahore,71,11.73
2022-02-27,Cultus,Lahore,141,15.16
2022-02-28,Alto,Lahore,90,10.22
2022-03-01,Alto,Karachi,70,11.07
2022-03-02,Alto,Lahore,71,17.73
2022-03-03,Swift,Islamabad,78,7.08
2022-03-04,Alto,Islamabad,140,15.44
2022-03-05,Cultus,Karachi,151,18.01
2022-03-06,Cultus,Karachi,111,24.54
2022-03-07,Cultus,Karachi,85,5.75
2022-03-08,Alto,Karachi,73,7.14
2022-03-09,Alto,Islamabad,102,5.33
2022-03-10,Swift,Lahore,131,11.96
2022-03-11,Cultus,Islamabad,103,19.45
2022-03-12,Cultus,Lahore,167,10.69
2022-03-13,Alto,Islamabad,104,18.9
2022-03-14,Alto,Islamabad,86,17.95
2022-03-15,Alto,Lahore,144,16.06
2022-03-16,Alto,Lahore,62,24.72
2022-03-17,Swift,Islamabad,69,6.99
2022-03-18,Cultus,Lahore,78,17.11
2022-03-19,Swift,Lahore,146,17.29
2022-03-20,Cultus,Lahore,60,19.42
2022-03-21,Swift,Islamabad,76,23.23
2022-03-22,Alto,Islamabad,172,9.09
2022-03-23,Cultus,Karachi,101,24.1
2022-03-24,Cultus,Islamabad,61,16.85
2022-03-25,Alto,Islamabad,94,5.31
2022-03-26,Alto,Islamabad,79,10.94
2022-03-27,Alto,Lahore,92,11.27
2022-03-28,Swift,Islamabad,119,16.26
2022-03-29,Alto,Islamabad,146,12.48
2022-03-30,Cultus,Lahore,41,21.29
2022-03-31,Alto,Lahore,117,9.37
2022-04-01,Swift,Islamabad,97,19.75
2022-04-02,Alto,Islamabad,55,14.17
2022-04-03,Swift,Lahore,150,16.63
2022-04-04,Alto,Lahore,73,6.91
2022-04-05,Cultus,Islamabad,113,18.81
2022-04-06,Alto,Lahore,47,22.25
2022-04-07,Swift,Islamabad,72,5.26
2022-04-08,Swift,Lahore,161,18.81
2022-04-09,Cultus,Islamabad,78,22.21
2022-04-10,Alto,Karachi,79,14.89
2022-04-11,Alto,Karachi,113,24.43
2022-04-12,Cultus,Islamabad,112,14.46
2022-04-13,Cultus,Lahore,90,5.44
2022-04-14,Cultus,Karachi,79,8.96
2022-04-15,Swift,Lahore,106,5.78
2022-04-16,Cultus,Lahore,85,23.0
2022-04-17,Swift,Karachi,80,22.29
2022-04-18,Alto,Islamabad,57,12.85
2022-04-19,Alto,Karachi,81,23.26
2022-04-20,Cultus,Islamabad,106,9.17
2022-04-21,Alto,Islamabad,157,20.41
2022-04-22,Alto,Islamabad,130,12.61
2022-04-23,Swift,Lahore,161,14.62
2022-04-24,Alto,Lahore,153,6.31
2022-04-25,Cultus,Karachi,162,12.14
2022-04-26,Alto,Lahore,66,14.23
2022-04-27,Swift,Karachi,156,14.66
2022-04-28,Swift,Lahore,146,13.55
2022-04-29,Cultus,Lahore,89,23.39
2022-04-30,Cultus,Lahore,146,17.46
2022-05-01,Cultus,Karachi,64,23.93
2022-05-02,Swift,Karachi,142,10.34
2022-05-03,Cultus,Islamabad,88,19.17
2022-05-04,Swift,Islamabad,126,5.7
2022-05-05,Cultus,Islamabad,166,14.95
2022-05-06,Cultus,Islamabad,138,9.74
2022-05-07,Cultus,Lahore,136,14.6
2022-05-08,Cultus,Lahore,171,6.26
2022-05-09,Alto,Karachi,104,11.34
2022-05-10,Alto,Karachi,120,12.8
2022-05-11,Cultus,Karachi,130,22.27
2022-05-12,Alto,Lahore,79,13.83
2022-05-13,Swift,Lahore,74,5.03
2022-05-14,Alto,Lahore,38,22.95
2022-05-15,Cultus,Lahore,75,23.17
2022-05-16,Swift,Lahore,63,16.88
2022-05-17,Cultus,Karachi,69,24.78
2022-05-18,Alto,Islamabad,88,21.99
2022-05-19,Alto,Lahore,151,14.73
2022-05-20,Swift,Islamabad,110,21.12
2022-05-21,Swift,Karachi,79,19.72
2022-05-22,Cultus,Lahore,178,5.34
2022-05-23,Alto,Karachi,157,8.61
2022-05-24,Swift,Karachi,90,7.12
2022-05-25,Alto,Islamabad,48,22.78
2022-05-26,Swift,Islamabad,121,21.54
2022-05-27,Swift,Lahore,56,19.24
2022-05-28,Alto,Karachi,95,13.88
2022-05-29,Alto,Lahore,75,7.79
2022-05-30,Cultus,Karachi,87,6.49
2022-05-31,Swift,Lahore,72,7.31
2022-06-01,Alto,Islamabad,141,13.69
2022-06-02,Cultus,Lahore,162,11.52
2022-06-03,Swift,Lahore,134,22.1
2022-06-04,Alto,Islamabad,166,11.9
2022-06-05,Alto,Lahore,92,15.8
2022-06-06,Cultus,Karachi,65,15.82
2022-06-07,Cultus,Karachi,135,18.96
2022-06-08,Cultus,Karachi,112,20.05
2022-06-09,Cultus,Lahore,78,20.92
2022-06-10,Swift,Karachi,147,18.35
2022-06-11,Alto,Lahore,91,14.94
2022-06-12,Swift,Karachi,94,20.8
2022-06-13,Cultus,Karachi,163,6.52
2022-06-14,Alto,Karachi,124,14.32
2022-06-15,Cultus,Lahore,150,12.17
2022-06-16,Alto,Karachi,180,6.18
2022-06-17,Cultus,Karachi,133,13.06
2022-06-18,Cultus,Lahore,87,11.01
2022-06-19,Cultus,Lahore,157,6.41
2022-06-20,Swift,Islamabad,162,12.55
2022-06-21,Swift,Islamabad,161,16.88
2022-06-22,Alto,Islamabad,62,23.95
2022-06-23,Alto,Karachi,88,9.47
2022-06-24,Swift,Lahore,159,8.16
2022-06-25,Swift,Lahore,111,5.18
2022-06-26,Alto,Islamabad,114,11.32
2022-06-27,Alto,Islamabad,124,24.97
2022-06-28,Swift,Karachi,117,22.35
2022-06-29,Swift,Karachi,132,21.82
2022-06-30,Alto,Karachi,74,8.92
2022-07-01,Swift,Islamabad,143,16.31
2022-07-02,Cultus,Karachi,44,22.5
2022-07-03,Cultus,Lahore,128,19.36
2022-07-04,Cultus,Karachi,165,5.09
2022-07-05,Swift,Lahore,151,13.23
2022-07-06,Alto,Islamabad,167,13.79
2022-07-07,Cultus,Islamabad,107,14.99
2022-07-08,Swift,Lahore,102,15.74
2022-07-09,Swift,Islamabad,73,24.01
2022-07-10,Swift,Islamabad,120,23.26
2022-07-11,Cultus,Lahore,109,23.16
2022-07-12,Swift,Islamabad,170,6.33
2022-07-13,Alto,Lahore,130,19.63
2022-07-14,Cultus,Lahore,135,24.05
2022-07-15,Cultus,Islamabad,85,13.13
2022-07-16,Cultus,Karachi,108,7.36
2022-07-17,Swift,Islamabad,75,21.97
2022-07-18,Alto,Lahore,174,6.66
2022-07-19,Swift,Karachi,132,22.69
2022-07-20,Swift,Islamabad,115,19.23
2022-07-21,Cultus,Islamabad,114,21.13
2022-07-22,Cultus,Karachi,120,22.02
2022-07-23,Swift,Karachi,43,21.31
2022-07-24,Cultus,Islamabad,70,6.3
2022-07-25,Swift,Karachi,133,9.76
2022-07-26,Swift,Islamabad,148,17.69
2022-07-27,Alto,Karachi,71,5.19
2022-07-28,Alto,Islamabad,138,16.01
2022-07-29,Cultus,Islamabad,58,21.2
2022-07-30,Cultus,Lahore,61,15.1
2022-07-31,Cultus,Islamabad,116,16.27
2022-08-01,Cultus,Islamabad,70,24.75
2022-08-02,Swift,Lahore,71,22.19
2022-08-03,Swift,Karachi,68,12.35
2022-08-04,Alto,Lahore,78,17.09
2022-08-05,Cultus,Karachi,96,24.47
2022-08-06,Swift,Lahore,61,15.41
2022-08-07,Cultus,Islamabad,169,8.16
2022-08-08,Cultus,Lahore,148,9.08
2022-08-09,Swift,Lahore,42,23.37
2022-08-10,Alto,Karachi,129,13.98
2022-08-11,Cultus,Islamabad,89,15.94
2022-08-12,Swift,Lahore,72,11.85
2022-08-13,Alto,Islamabad,64,21.58
2022-08-14,Cultus,Lahore,88,7.98
2022-08-15,Alto,Islamabad,64,13.7
2022-08-16,Cultus,Lahore,124,9.53
2022-08-17,Swift,Lahore,101,7.32
2022-08-18,Swift,Lahore,146,14.11
2022-08-19,Alto,Karachi,138,15.13
2022-08-20,Swift,Lahore,117,19.41
2022-08-21,Swift,Lahore,146,15.77
2022-08-22,Alto,Lahore,135,17.02
2022-08-23,Swift,Karachi,156,14.11
2022-08-24,Cultus,Lahore,74,15.12
2022-08-25,Alto,Islamabad,79,7.31
2022-08-26,Alto,Karachi,124,10.99
2022-08-27,Swift,Karachi,65,13.8
2022-08-28,Alto,Lahore,131,18.76
2022-08-29,Alto,Lahore,94,17.06
2022-08-30,Alto,Lahore,101,5.53
2022-08-31,Swift,Islamabad,112,23.05
2022-09-01,Alto,Karachi,114,11.95
2022-09-02,Swift,Lahore,121,7.66
2022-09-03,Cultus,Lahore,145,13.76
2022-09-04,Swift,Karachi,90,20.53
2022-09-05,Alto,Karachi,128,18.8
2022-09-06,Alto,Lahore,44,22.07
2022-09-07,Swift,Islamabad,126,10.77
2022-09-08,Alto,Lahore,157,6.5
2022-09-09,Swift,Karachi,91,5.9
2022-09-10,Swift,Islamabad,56,20.46
2022-09-11,Alto,Islamabad,70,11.8
2022-09-12,Swift,Islamabad,97,9.97
2022-09-13,Swift,Lahore,182,6.28
2022-09-14,Cultus,Lahore,65,12.51
2022-09-15,Alto,Islamabad,145,17.04
2022-09-16,Swift,Islamabad,145,7.68
2022-09-17,Alto,Islamabad,82,6.96
2022-09-18,Alto,Islamabad,129,7.01
2022-09-19,Swift,Islamabad,70,13.09
2022-09-20,Alto,Islamabad,122,23.88
2022-09-21,Cultus,Karachi,40,24.15
2022-09-22,Swift,Islamabad,153,18.79
2022-09-23,Cultus,Islamabad,80,7.2
2022-09-24,Alto,Lahore,189,5.27
2022-09-25,Alto,Lahore,123,20.59
2022-09-26,Alto,Islamabad,83,14.86
2022-09-27,Cultus,Lahore,67,24.03
2022-09-28,Alto,Karachi,116,12.84
2022-09-29,Swift,Lahore,168,8.24
2022-09-30,Cultus,Islamabad,147,22.76
2022-10-01,Alto,Karachi,59,19.41
2022-10-02,Cultus,Lahore,163,12.81
2022-10-03,Cultus,Islamabad,158,17.74
2022-10-04,Alto,Islamabad,62,9.91
2022-10-05,Alto,Lahore,92,21.29
2022-10-06,Alto,Lahore,119,24.27
2022-10-07,Cultus,Karachi,142,17.32
2022-10-08,Cultus,Karachi,64,24.11
2022-10-09,Cultus,Lahore,160,5.54
2022-10-10,Alto,Islamabad,87,7.72
2022-10-11,Swift,Lahore,119,21.67
2022-10-12,Swift,Islamabad,127,21.35
2022-10-13,Swift,Karachi,109,19.06
2022-10-14,Cultus,Islamabad,102,13.28
2022-10-15,Swift,Karachi,144,15.26
2022-10-16,Alto,Karachi,94,9.45
2022-10-17,Cultus,Karachi,59,16.46
2022-10-18,Alto,Lahore,124,11.49
2022-10-19,Cultus,Karachi,129,24.03
2022-10-20,Swift,Lahore,84,22.52
2022-10-21,Cultus,Karachi,119,16.2
2022-10-22,Swift,Karachi,126,10.22
2022-10-23,Cultus,Karachi,71,23.43
2022-10-24,Alto,Islamabad,70,18.78
2022-10-25,Swift,Karachi,107,12.79
2022-10-26,Cultus,Karachi,106,8.29
2022-10-27,Alto,Islamabad,70,14.35
2022-10-28,Cultus,Islamabad,168,10.71
2022-10-29,Alto,Karachi,143,19.82
2022-10-30,Swift,Lahore,90,21.71
2022-10-31,Alto,Islamabad,133,15.59
2022-11-01,Alto,Islamabad,72,22.31
2022-11-02,Alto,Islamabad,40,24.15
2022-11-03,Swift,Karachi,85,14.08
2022-11-04,Cultus,Islamabad,78,15.76
2022-11-05,Swift,Islamabad,101,17.95
2022-11-06,Alto,Karachi,40,22.59
2022-11-07,Alto,Lahore,139,24.68
2022-11-08,Cultus,Lahore,68,11.55
2022-11-09,Swift,Lahore,95,19.68
2022-11-10,Swift,Karachi,62,8.93
2022-11-11,Swift,Lahore,96,17.35
2022-11-12,Swift,Islamabad,53,24.01
2022-11-13,Swift,Lahore,160,17.45
2022-11-14,Swift,Lahore,136,7.57
2022-11-15,Alto,Islamabad,177,10.08
2022-11-16,Swift,Islamabad,112,24.98
2022-11-17,Alto,Karachi,85,21.71
2022-11-18,Swift,Lahore,103,8.88
2022-11-19,Alto,Lahore,141,12.85
2022-11-20,Swift,Islamabad,75,23.92
2022-11-21,Cultus,Lahore,82,22.64
2022-11-22,Alto,Karachi,164,14.05
2022-11-23,Alto,Islamabad,129,11.25
2022-11-24,Alto,Karachi,68,17.04
2022-11-25,Alto,Karachi,132,17.97
2022-11-26,Cultus,Islamabad,76,8.2
2022-11-27,Swift,Lahore,137,13.59
2022-11-28,Cultus,Lahore,59,14.99
2022-11-29,Cultus,Islamabad,108,23.22
2022-11-30,Cultus,Karachi,50,21.72
2022-12-01,Cultus,Islamabad,68,15.3
2022-12-02,Swift,Islamabad,46,21.0
2022-12-03,Swift,Karachi,100,24.11
2022-12-04,Alto,Islamabad,107,10.8
2022-12-05,Alto,Lahore,106,15.06
2022-12-06,Alto,Islamabad,82,18.13
2022-12-07,Swift,Islamabad,134,21.45
2022-12-08,Alto,Lahore,113,6.77
2022-12-09,Swift,Karachi,167,6.86
2022-12-10,Alto,Islamabad,119,23.46
2022-12-11,Swift,Lahore,103,19.58
2022-12-12,Cultus,Islamabad,157,15.94
2022-12-13,Alto,Lahore,84,23.73
2022-12-14,Cultus,Islamabad,78,20.83
2022-12-15,Swift,Lahore,158,9.16
2022-12-16,Swift,Islamabad,125,16.18
2022-12-17,Alto,Islamabad,112,11.49
2022-12-18,Swift,Lahore,68,7.49
2022-12-19,Swift,Lahore,124,8.36
2022-12-20,Swift,Karachi,74,16.05
2022-12-21,Alto,Lahore,95,6.64
2022-12-22,Alto,Islamabad,144,5.17
2022-12-23,Alto,Islamabad,166,14.37
2022-12-24,Alto,Lahore,79,6.56
2022-12-25,Alto,Lahore,149,10.83
2022-12-26,Alto,Lahore,106,5.44
2022-12-27,Alto,Lahore,97,13.18
2022-12-28,Swift,Karachi,99,8.92
2022-12-29,Cultus,Karachi,99,14.1
2022-12-30,Alto,Islamabad,119,15.47
2022-12-31,Swift,Lahore,97,18.01
2023-01-01,Cultus,Islamabad,87,7.21
2023-01-02,Cultus,Lahore,62,22.73
2023-01-03,Swift,Karachi,88,20.14
2023-01-04,Cultus,Karachi,154,13.32
2023-01-05,Swift,Karachi,174,7.6
2023-01-06,Alto,Karachi,138,12.63
2023-01-07,Swift,Karachi,40,23.89
2023-01-08,Swift,Karachi,71,11.91
2023-01-09,Cultus,Lahore,50,16.31
2023-01-10,Swift,Lahore,155,21.87
2023-01-11,Alto,Karachi,127,21.56
2023-01-12,Alto,Islamabad,103,21.17
2023-01-13,Alto,Karachi,107,24.88
2023-01-14,Swift,Lahore,142,5.09
2023-01-15,Cultus,Lahore,116,15.32
2023-01-16,Alto,Lahore,129,15.5
2023-01-17,Cultus,Lahore,59,15.47
2023-01-18,Swift,Lahore,172,8.44
2023-01-19,Alto,Islamabad,113,18.71
2023-01-20,Swift,Karachi,160,5.44
2023-01-21,Swift,Lahore,71,6.37
2023-01-22,Alto,Lahore,150,16.69
2023-01-23,Swift,Islamabad,62,14.66
2023-01-24,Cultus,Karachi,69,19.58
2023-01-25,Cultus,Lahore,79,16.67
2023-01-26,Swift,Lahore,92,5.25
2023-01-27,Cultus,Lahore,109,13.51
2023-01-28,Swift,Islamabad,141,9.6
2023-01-29,Swift,Karachi,76,14.42
2023-01-30,Alto,Islamabad,77,16.37
2023-01-31,Swift,Lahore,56,11.52
2023-02-01,Swift,Lahore,97,17.25
2023-02-02,Cultus,Islamabad,55,20.62
2023-02-03,Swift,Lahore,70,6.38
2023-02-04,Cultus,Lahore,58,18.55
2023-02-05,Cultus,Karachi,60,12.93
2023-02-06,Swift,Lahore,175,8.97
2023-02-07,Cultus,Islamabad,176,10.93
2023-02-08,Cultus,Islamabad,37,23.27
2023-02-09,Swift,Karachi,132,17.77
2023-02-10,Swift,Karachi,65,21.6
2023-02-11,Alto,Islamabad,74,13.44
2023-02-12,Cultus,Karachi,96,20.9
2023-02-13,Swift,Lahore,55,21.62
2023-02-14,Alto,Lahore,130,19.85
2023-02-15,Alto,Lahore,143,16.2
2023-02-16,Cultus,Islamabad,107,5.58
2023-02-17,Cultus,Lahore,156,17.21
2023-02-18,Alto,Islamabad,76,14.05
2023-02-19,Alto,Lahore,65,12.68
2023-02-20,Alto,Islamabad,128,6.85
2023-02-21,Swift,Karachi,129,24.63
2023-02-22,Alto,Islamabad,108,14.69
2023-02-23,Alto,Karachi,72,17.6
2023-02-24,Cultus,Lahore,71,24.66
2023-02-25,Alto,Islamabad,147,19.34
2023-02-26,Cultus,Lahore,125,20.27
2023-02-27,Cultus,Islamabad,81,20.36
2023-02-28,Swift,Islamabad,108,20.92
2023-03-01,Alto,Islamabad,54,15.87
2023-03-02,Cultus,Lahore,79,15.57
2023-03-03,Swift,Karachi,93,6.68
2023-03-04,Alto,Islamabad,88,21.36
2023-03-05,Swift,Lahore,96,22.95
2023-03-06,Alto,Karachi,106,11.11
2023-03-07,Alto,Karachi,152,11.14
2023-03-08,Swift,Lahore,143,11.0
2023-03-09,Swift,Islamabad,114,20.86
2023-03-10,Cultus,Karachi,123,12.2
2023-03-11,Alto,Islamabad,78,13.88
2023-03-12,Swift,Karachi,118,23.88
2023-03-13,Swift,Islamabad,66,10.46
2023-03-14,Swift,Islamabad,179,6.32
2023-03-15,Alto,Lahore,142,7.34
2023-03-16,Swift,Lahore,67,16.07
2023-03-17,Swift,Islamabad,126,22.97
2023-03-18,Alto,Karachi,58,11.95
2023-03-19,Cultus,Lahore,129,6.26
2023-03-20,Swift,Islamabad,111,16.72
2023-03-21,Cultus,Karachi,111,24.71
2023-03-22,Swift,Islamabad,47,23.54
2023-03-23,Alto,Lahore,147,19.9
2023-03-24,Alto,Islamabad,124,19.01
2023-03-25,Cultus,Karachi,147,22.49
2023-03-26,Alto,Lahore,162,8.31
2023-03-27,Cultus,Islamabad,127,11.31
2023-03-28,Swift,Islamabad,140,23.81
2023-03-29,Swift,Karachi,123,10.57
2023-03-30,Swift,Karachi,47,19.01
2023-03-31,Alto,Lahore,65,17.42
2023-04-01,Alto,Karachi,77,9.02
2023-04-02,Cultus,Islamabad,119,22.6
2023-04-03,Cultus,Lahore,100,22.35
2023-04-04,Cultus,Karachi,160,19.55
2023-04-05,Swift,Islamabad,116,23.57
2023-04-06,Cultus,Lahore,180,6.78
2023-04-07,Swift,Lahore,152,15.85
2023-04-08,Cultus,Islamabad,73,23.0
2023-04-09,Swift,Islamabad,146,5.79
2023-04-10,Alto,Karachi,56,12.09
2023-04-11,Alto,Lahore,170,14.28
2023-04-12,Alto,Karachi,117,12.43
2023-04-13,Cultus,Islamabad,81,24.79
2023-04-14,Swift,Karachi,117,23.31
2023-04-15,Alto,Lahore,106,5.39
2023-04-16,Alto,Karachi,73,9.33
2023-04-17,Cultus,Karachi,143,11.33
2023-04-18,Swift,Lahore,148,24.87
2023-04-19,Cultus,Islamabad,45,20.36
2023-04-20,Cultus,Karachi,139,16.91
2023-04-21,Alto,Islamabad,119,7.43
2023-04-22,Swift,Lahore,125,12.35
2023-04-23,Cultus,Islamabad,67,18.42
2023-04-24,Swift,Karachi,122,8.73
2023-04-25,Cultus,Karachi,74,21.35
2023-04-26,Alto,Lahore,172,9.81
2023-04-27,Cultus,Karachi,159,12.36
2023-04-28,Alto,Islamabad,68,22.09
2023-04-29,Cultus,Lahore,123,20.12
2023-04-30,Alto,Karachi,125,11.36
2023-05-01,Swift,Lahore,147,13.93
2023-05-02,Alto,Lahore,61,23.17
2023-05-03,Alto,Lahore,67,8.08
2023-05-04,Swift,Karachi,91,6.71
2023-05-05,Cultus,Karachi,81,8.42
2023-05-06,Alto,Lahore,134,8.11
2023-05-07,Cultus,Karachi,43,18.5
2023-05-08,Cultus,Lahore,151,7.42
2023-05-09,Swift,Lahore,72,17.48
2023-05-10,Cultus,Lahore,97,23.23
2023-05-11,Alto,Islamabad,137,14.27
2023-05-12,Cultus,Islamabad,70,18.58
2023-05-13,Alto,Karachi,110,11.01
2023-05-14,Cultus,Karachi,143,18.04
2023-05-15,Cultus,Lahore,176,7.31
